cycle,hemisphere,slice,bank,port,tile,stage,action,opcode,address,stream_direction,stream_index,sr_column,vector_tag,data_hex,source,pc,iq_before,iq_after
0,E,2,1,read,,"icu","nop","",,,,,,"","program",0,2,1
0,E,4,0,write,,"icu","nop","",,,,,,"","program",0,2,1
0,W,4,0,read,,"icu","nop","",,,,,,"","program",0,2,1
1,E,2,1,read,,"icu","issue","Read",17,E,3,,,"","program",1,1,0
1,E,2,1,read,0,"pipeline","execute","Read",17,E,3,,,"","mem_fu",,0,0
1,E,2,1,read,0,"sram","read_to_sr","Read",17,E,3,1,4,"1011121314151617","mem_fu",,0,0
1,E,4,0,write,,"icu","nop_wait","",,,,,,"","program",,1,1
1,W,4,0,read,,"icu","nop_wait","",,,,,,"","program",,1,1
2,E,2,1,read,1,"pipeline","execute","Read",17,E,3,,,"","mem_fu",,0,0
2,E,2,1,read,1,"sram","read_to_sr","Read",17,E,3,1,9,"18191a1b1c1d1e1f","mem_fu",,0,0
2,E,4,0,write,,"icu","issue","Write",41,E,3,,,"","program",1,1,0
2,E,4,0,write,0,"pipeline","execute","Write",41,E,3,,,"","mem_fu",,0,0
2,E,4,0,write,0,"sram","write_commit","Write",41,E,3,1,4,"1011121314151617","mem_fu",,0,0
2,W,4,0,read,,"icu","nop_wait","",,,,,,"","program",,1,1
3,E,2,1,read,2,"pipeline","execute","Read",17,E,3,,,"","mem_fu",,0,0
3,E,2,1,read,2,"sram","read_to_sr","Read",17,E,3,1,14,"2021222324252627","mem_fu",,0,0
3,E,4,0,write,1,"pipeline","execute","Write",41,E,3,,,"","mem_fu",,0,0
3,E,4,0,write,1,"sram","write_commit","Write",41,E,3,1,9,"18191a1b1c1d1e1f","mem_fu",,0,0
3,W,4,0,read,,"icu","issue","Read",29,W,5,,,"","program",1,1,0
3,W,4,0,read,0,"pipeline","execute","Read",29,W,5,,,"","mem_fu",,0,0
3,W,4,0,read,0,"sram","read_to_sr","Read",29,W,5,1,12,"8081828384858687","mem_fu",,0,0
4,E,2,1,read,3,"pipeline","execute","Read",17,E,3,,,"","mem_fu",,0,0
4,E,2,1,read,3,"sram","read_to_sr","Read",17,E,3,1,19,"28292a2b2c2d2e2f","mem_fu",,0,0
4,E,4,0,write,2,"pipeline","execute","Write",41,E,3,,,"","mem_fu",,0,0
4,E,4,0,write,2,"sram","write_commit","Write",41,E,3,1,14,"2021222324252627","mem_fu",,0,0
4,W,4,0,read,1,"pipeline","execute","Read",29,W,5,,,"","mem_fu",,0,0
4,W,4,0,read,1,"sram","read_to_sr","Read",29,W,5,1,17,"88898a8b8c8d8e8f","mem_fu",,0,0
5,E,4,0,write,3,"pipeline","execute","Write",41,E,3,,,"","mem_fu",,0,0
5,E,4,0,write,3,"sram","write_commit","Write",41,E,3,1,19,"28292a2b2c2d2e2f","mem_fu",,0,0
5,W,4,0,read,2,"pipeline","execute","Read",29,W,5,,,"","mem_fu",,0,0
5,W,4,0,read,2,"sram","read_to_sr","Read",29,W,5,1,22,"9091929394959697","mem_fu",,0,0
6,W,4,0,read,3,"pipeline","execute","Read",29,W,5,,,"","mem_fu",,0,0
6,W,4,0,read,3,"sram","read_to_sr","Read",29,W,5,1,27,"98999a9b9c9d9e9f","mem_fu",,0,0
